timestamp,time,load,cpu_usage,gpu_power,cpu_core_0,cpu_core_1,cpu_core_2,cpu_core_3,cpu_core_4,cpu_core_5,cpu_core_6,cpu_core_7,cpu_core_8,cpu_core_9,cpu_core_10,cpu_core_11,cpu_core_12,cpu_core_13,cpu_core_14,cpu_core_15,cpu_freq,cpu_temp,gpu_temp,current,voltage,power,proc_count,nvidia_util,nvidia_power,nvidia_temp,fan1,fan2,stage
1776305589.5232494,07:43:09,NO_LOAD,1.6,2.24,0.8,3.3,5.0,2.4,3.3,0.0,7.4,0.0,1.6,0.0,0.0,0.0,0.0,0.8,0.8,0.8,1340.6,43.2,42.0,0.893,16.32,14.57,426,0.0,4.3,40.0,43,43,2
1776305590.7736971,07:43:10,NO_LOAD,1.4,3.10,0.8,4.0,3.3,0.8,1.6,0.0,8.0,0.0,1.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1142.0,43.2,43.0,0.850,16.34,13.89,426,0.0,4.3,40.0,43,43,2
1776305592.0246744,07:43:12,NO_LOAD,1.8,3.05,0.8,4.0,5.9,2.4,3.3,0.0,4.1,0.8,4.1,0.0,0.0,0.0,1.6,0.0,0.0,0.0,1165.6,43.1,42.0,0.909,16.30,14.81,426,0.0,4.3,40.0,43,43,2
1776305593.2873423,07:43:13,NO_LOAD,12.7,4.11,19.8,12.2,41.0,23.0,13.6,9.4,18.7,15.0,15.1,3.9,8.0,0.0,6.4,6.4,7.2,4.0,1474.1,44.5,44.0,1.147,16.11,18.48,426,0.0,4.4,40.0,43,43,2
1776305594.5022814,07:43:14,NO_LOAD,12.9,9.18,12.5,10.0,47.1,19.0,17.5,4.2,32.5,12.5,10.9,5.8,10.0,1.7,7.6,2.5,9.0,3.3,1367.2,45.0,43.0,1.205,16.15,19.46,426,0.0,4.5,40.0,44,45,2
1776305595.7314575,07:43:15,NO_LOAD,10.8,9.12,15.2,9.7,49.2,2.5,10.9,4.9,29.2,2.5,12.5,2.5,8.3,1.6,10.6,2.5,10.9,0.0,1381.2,45.1,43.0,1.351,16.02,21.64,426,0.0,4.4,40.0,45,45,2
1776305596.948713,07:43:16,NO_LOAD,6.6,4.25,9.0,3.3,11.0,4.1,7.4,2.5,17.4,28.7,8.3,0.0,5.0,0.8,3.3,0.8,3.3,1.6,1294.8,46.6,43.0,1.433,15.81,22.65,426,0.0,4.4,40.0,45,47,2
1776305598.188831,07:43:18,NO_LOAD,10.8,15.05,19.2,4.9,14.9,6.6,11.7,0.8,8.1,64.0,7.3,7.3,6.5,0.0,5.7,1.7,11.6,0.0,1747.3,47.2,44.0,1.544,16.08,24.83,426,0.0,4.4,40.0,47,46,2
1776305599.4338274,07:43:19,NO_LOAD,7.5,6.25,11.0,2.4,39.2,4.0,9.5,1.6,27.9,0.8,4.9,4.0,4.8,0.0,4.0,0.0,4.9,0.0,1249.4,46.5,43.0,1.228,15.89,19.51,426,0.0,4.4,40.0,46,47,2
1776305600.6707292,07:43:20,NO_LOAD,8.8,10.06,13.0,4.8,28.9,15.6,13.9,0.8,27.6,9.8,4.1,6.5,4.9,1.6,4.1,2.4,7.3,0.0,1300.6,48.4,43.0,1.510,15.85,23.94,429,0.0,4.4,40.0,46,48,3
1776305601.892659,07:43:21,NO_LOAD,7.1,7.02,9.8,2.5,21.2,35.8,9.8,0.0,7.4,8.1,2.5,3.3,2.5,0.0,2.5,0.8,4.1,0.0,1266.5,49.8,44.0,1.524,16.03,24.43,429,0.0,4.4,40.0,48,50,3
1776305603.1160257,07:43:23,NO_LOAD,9.1,22.04,11.5,4.9,1.7,68.6,6.7,0.8,10.0,8.3,8.2,4.1,5.0,0.0,4.9,2.5,6.6,0.0,2562.5,48.8,45.0,1.294,16.06,20.78,429,0.0,4.4,40.0,50,48,3
1776305604.3223994,07:43:24,NO_LOAD,7.3,7.25,11.6,3.4,8.5,6.7,7.5,1.7,6.7,48.4,6.7,0.8,5.8,0.0,1.7,0.8,5.0,0.8,1245.0,52.9,44.0,1.987,15.43,30.66,429,0.0,4.4,41.0,48,54,3
1776305605.5556433,07:43:25,NO_LOAD,8.4,3.06,14.0,10.7,15.8,3.3,12.3,1.6,8.2,40.2,10.7,0.8,4.1,1.6,5.6,1.6,4.1,0.0,1138.9,50.4,44.0,1.510,16.04,24.22,429,0.0,4.5,41.0,54,51,3
